district,province,year,month_name,vim,vim_avg,forest statust,viq,brightness,bright_t31,Fire Radiative Power,population,no2_ug_m3_avg,so2_ug_m3_avg,respiratory_cases,deaths,respiratory_cases_per_100k,deaths_per_100k,Petrol_Liters,Diesel_Liters,Kerosene_Liters,CO2_Petrol_Tons,CO2_Diesel_Tons,CO2_Kerosene_Tons,CO2_Total_Tons,Estimated_Vehicles,national_total_vehicles,national_buses,national_dpv,national_lorries,national_motor_cars,national_motorcycles,national_tricycles
Ampara,Eastern,2020,June,0.745729467,0.69607917,Healthy,106.6583783,317.94,297.6,13.18,742670,11.7728,18.2492,121,0,16.42338383,0.0837453,2579.361981731622,3157.7659546869068,664.7868038079596,5.958326177800046,8.46281275856091,1.6353755373675805,16.056514473728534,4994.934048493372,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,July,0.727697253,0.66297264,Healthy,109.084408,323.4,297.68,13.9,744000,9.6957,17.1563,136,0,18.32273363,0.09343037,2305.778742135972,2822.8335776546155,594.2753638804314,5.326348894334095,7.565193988114369,1.4619173951458613,14.353460277594325,4465.140150532594,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,August,0.685702253,0.629752123,Degraded,108.2263733,325.83,299.54,14.005,745330,8.6051,16.1329,150,0,20.21530486,0.103080875,2015.876502283739,2467.9227781326776,519.5579784133663,4.656674720275437,6.614033045395576,1.2781126268968812,12.548820392567894,3903.744511289945,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,September,0.66509001,0.632959433,Degraded,104.7186867,318.0,294.55,9.9,746670,11.2251,18.8459,172,0,23.06174374,0.117595294,1967.8794427055548,2409.1627119866616,507.1875503559052,4.545801512649831,6.456556068124253,1.2476813738755268,12.25003895464961,3810.7982134020895,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,October,0.661139643,0.672698457,Healthy,98.42927667,319.15,291.1,9.65,748000,12.5061,20.1673,186,0,24.93913308,0.127168384,1943.8809129164624,2379.7826789136534,501.0023363271746,4.490364908837028,6.377817579488591,1.2324657473648497,12.100648235690468,3764.325064458161,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,November,0.713616103,0.73024149,Healthy,97.85155533,,,,749330,15.0262,22.6445,200,1,26.809858,0.136707491,1871.8853235491863,2291.6425796946296,482.4466942409831,4.32405509739862,6.141602113581607,1.1868188678328184,11.652476078813043,3624.9056176263775,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2020,December,0.78566642,0.776660733,Healthy,101.082588,,,,750670,18.7504,25.9413,193,0,25.80621474,0.131589764,1823.8882639710023,2232.8825135486136,470.076266183522,4.213181889773015,5.984125136310284,1.156387614811464,11.353694640894762,3531.9593197385216,405256.0,578.0,9532.0,3000.0,21021.0,151634.0,7150.0
Ampara,Eastern,2021,January,0.797451247,0.783309713,Healthy,101.6954483,,,,752000,17.0634,25.0506,93,0,12.38648158,0.087571354,52.98912221488153,71.00309744026163,13.439031418350108,0.1224048723163763,0.1902883011399011,0.0330600172891412,0.3457531907454187,95.18410110164857,33850.0,281.0,771.0,2593.0,3495.0,8011.0,2093.0
Ampara,Eastern,2021,February,0.746477767,0.7432987,Healthy,100.3948413,,,,752170,17.2222,24.8407,87,0,11.69569974,0.082687587,47.79411023303038,64.04200945592223,12.121479318511856,0.1104043946383002,0.1716325853418715,0.0298188391235391,0.3118558191037109,85.85232648383989,33850.0,281.0,771.0,2593.0,3495.0,8011.0,2093.0
Ampara,Eastern,2021,March,0.70229386,0.699393903,Healthy,100.39164,323.54,300.6,11.78,752330,16.4332,27.5269,93,0,12.3810484,0.087532942,195.33245051760247,261.7369082111604,49.53995895391803,0.4512179606956617,0.70145491400591,0.1218682990266383,1.2745411737282102,350.8747256296065,33850.0,281.0,771.0,2593.0,3495.0,8011.0,2093.0
Ampara,Eastern,2021,April,0.706400867,0.683114263,Healthy,103.1752427,305.4,281.5,9.6,752500,14.4811,26.7914,82,0,11.0028901,0.077789482,1606.8172059865549,2153.064513556168,407.51886447996935,3.711747745828941,5.770212896330532,1.0024964066207247,10.484457048780197,2886.317889288226,33850.0,281.0,771.0,2593.0,3495.0,8011.0,2093.0
Ampara,Eastern,2021,May,0.747768233,0.69424426,Healthy,107.1879653,317.3,297.1,7.2,752670,14.8954,24.5825,77,0,10.31287964,0.072911168,2340.872399022119,3136.6662457433217,593.6889761871134,5.407415241741096,8.406265538592104,1.460474881420299,15.2741556617535,4204.897642784593,33850.0,281.0,771.0,2593.0,3495.0,8011.0,2093.0
