Year,Month,Month_Name,District,Monthly_Share,Diesel_Liters_Monthly,Kerosene_Liters_Monthly,Petrol_Liters_Monthly
2022,4,April,Hambantota,0.08055316821626689,4541602.123603406,379864.57535744976,
2022,5,May,Hambantota,0.1173529181967341,6616378.651457144,553401.156340339,
2022,6,June,Hambantota,0.13995885095189725,7890905.209261138,660003.9534338618,
2022,7,July,Hambantota,0.12511394119332236,7053946.52498893,589999.8124853503,
2022,8,August,Hambantota,0.10938354558949917,6167063.989374169,515819.98593640124,
2022,9,September,Hambantota,0.10677917545641585,6020229.1324843075,503538.55769982026,
2022,10,October,Hambantota,0.10547699038987417,5946811.704039375,497397.8435815296,
2022,11,November,Hambantota,0.10157043519024922,5726559.418704585,478975.70122665825,
2022,12,December,Hambantota,0.0989660650571659,5579724.561814724,466694.27299007727,
2022,1,January,Jaffna,0.0026564575357449797,111341.00789124149,29139.21400109383,
2022,2,February,Jaffna,0.002396020522436648,100425.22280386486,26282.42831471208,
2022,3,March,Jaffna,0.009792431700393258,410433.51928536076,107415.14180795373,
2022,4,April,Jaffna,0.08055316821626689,3376252.3275255878,883603.8127978748,
2022,5,May,Jaffna,0.1173529181967341,4918652.760371903,1287267.6302836158,
2022,6,June,Jaffna,0.13995885095189725,5866142.905956193,1535236.6278615512,
2022,7,July,Jaffna,0.12511394119332236,5243943.155975726,1372399.8437377918,
2022,8,August,Jaffna,0.10938354558949917,4584629.7366981795,1199849.9882803343,
2022,9,September,Jaffna,0.10677917545641585,4475471.885824413,1171282.1314165168,
2022,10,October,Jaffna,0.10547699038987417,4420892.960387529,1156998.2029846078,
2022,11,November,Jaffna,0.10157043519024922,4257156.18407688,1114146.4176888817,
2022,12,December,Jaffna,0.0989660650571659,4147998.333203114,1085578.5608250643,
2022,1,January,Mullaitivu,0.0026564575357449797,,,
2022,2,February,Mullaitivu,0.002396020522436648,,,
2022,3,March,Mullaitivu,0.009792431700393258,,,
2022,4,April,Mullaitivu,0.08055316821626689,,,
2022,5,May,Mullaitivu,0.1173529181967341,,,
2022,6,June,Mullaitivu,0.13995885095189725,,,
2022,7,July,Mullaitivu,0.12511394119332236,,,
2022,8,August,Mullaitivu,0.10938354558949917,,,
2022,9,September,Mullaitivu,0.10677917545641585,,,
2022,10,October,Mullaitivu,0.10547699038987417,,,
2022,11,November,Mullaitivu,0.10157043519024922,,,
2022,12,December,Mullaitivu,0.0989660650571659,,,
2022,1,January,Batticaloa,0.0026564575357449797,149621.86264551917,16550.79303070552,
2022,2,February,Batticaloa,0.002396020522436648,134953.05258223295,14928.166262989293,
2022,3,March,Batticaloa,0.009792431700393258,551547.2583795608,61010.76646613015,
2022,4,April,Batticaloa,0.08055316821626689,4537062.95257442,501878.4592546292,
2022,5,May,Batticaloa,0.1173529181967341,6609765.814516759,731155.6215329322,
2022,6,June,Batticaloa,0.13995885095189725,7883018.528009999,871999.6249707006,
2022,7,July,Batticaloa,0.12511394119332236,7046896.354402686,779509.8992108756,
2022,8,August,Batticaloa,0.10938354558949917,6160900.226580201,681503.2424408157,
2022,9,September,Batticaloa,0.10677917545641585,6014212.1259473385,665276.9747636534,
2022,10,October,Batticaloa,0.10547699038987417,5940868.075630906,657163.840925072,
2022,11,November,Batticaloa,0.10157043519024922,5720835.924681615,632824.4394093287,
2022,12,December,Batticaloa,0.0989660650571659,5574147.824048753,616598.1717321664,
2022,1,January,Ampara,0.0026564575357449797,123718.93116649736,14657.2700992265,
2022,2,February,Ampara,0.002396020522436648,111589.62418938977,13220.28283459645,
2022,3,March,Ampara,0.009792431700393258,456061.9423392452,54030.72115008984,
2022,4,April,Ampara,0.08055316821626689,3751594.648019376,444460.1609500742,
2022,5,May,Ampara,0.1173529181967341,5465465.7238846775,647506.4614423001,
2022,6,June,Ampara,0.13995885095189725,6518289.569497615,772236.9560121882,
2022,7,July,Ampara,0.12511394119332236,5826919.071802483,690328.6819282755,
2022,8,August,Ampara,0.10938354558949917,5094308.930385186,603534.6511446206,
2022,9,September,Ampara,0.10677917545641585,4973015.86061411,589164.7784983201,
2022,10,October,Ampara,0.10547699038987417,4912369.325728571,581979.8421751697,
2022,11,November,Ampara,0.10157043519024922,4730429.721071958,560425.0332057191,
2022,12,December,Ampara,0.0989660650571659,4609136.651300882,546055.1605594186,
2022,1,January,Trincomalee,0.0026564575357449797,119002.65645753573,21582.654894913663,
2022,2,February,Trincomalee,0.002396020522436648,107335.72935385574,19466.708336588792,
2022,3,March,Trincomalee,0.009792431700393258,438676.45909836696,79559.59059301506,
2022,4,April,Trincomalee,0.08055316821626689,3608580.553168216,654462.270489882,
2022,5,May,Trincomalee,0.1173529181967341,5257117.352918196,953445.5191811859,
2022,6,June,Trincomalee,0.13995885095189725,6269806.625517617,1137109.6804437845,
2022,7,July,Trincomalee,0.12511394119332236,5604791.780607859,1016500.7266192669,
2022,8,August,Trincomalee,0.10938354558949917,4900109.383545589,888697.554496445,
2022,9,September,Trincomalee,0.10677917545641585,4783440.11250879,867538.0889131962,
2022,10,October,Trincomalee,0.10547699038987417,4725105.476990388,856958.3561215716,
2022,11,November,Trincomalee,0.10157043519024922,4550101.57043519,825219.1577466988,
2022,12,December,Trincomalee,0.0989660650571659,4433432.29939839,804059.6921634501,
2022,1,January,Kandy,0.0026564575357449797,217811.45401984526,9169.56012188452,
2022,2,February,Kandy,0.002396020522436648,196457.38990025257,8270.583639346822,
2022,3,March,Kandy,0.009792431700393258,802912.8108966845,33801.51574341745,
2022,4,April,Kandy,0.08055316821626689,6604812.032190015,278053.42604891007,
2022,5,May,Kandy,0.1173529181967341,9622141.292288458,405078.80303148675,
2022,6,June,Kandy,0.13995885095189725,11475674.057869101,483109.96171575895,
2022,7,July,Kandy,0.12511394119332236,10258492.403052319,431868.30221111013,
2022,8,August,Kandy,0.10938354558949917,8968706.930228923,377570.1226658332,
2022,9,September,Kandy,0.10677917545641585,8755166.289032996,368580.35784045624,
2022,10,October,Kandy,0.10547699038987417,8648395.96843503,364085.47542776767,
2022,11,November,Kandy,0.10157043519024922,8328085.006641142,350600.82818970224,
2022,12,December,Kandy,0.0989660650571659,8114544.365445215,341611.06336432527,
2022,1,January,Matale,0.0026564575357449797,96972.91975935618,5172.122822095475,
2022,2,February,Matale,0.002396020522436648,87465.77076334087,4665.051957184154,
