Year,Month,District,Petrol_Liters,Diesel_Liters,Kerosene_Liters,CO2_Petrol_Tons,CO2_Diesel_Tons,CO2_Kerosene_Tons,CO2_Total_Tons
2022,10,Anuradhapura,5706.484830160134,4750.701079380208,191.44598054463398,13.18197995766991,12.73187889273896,0.47095711213979957,26.38481596254867
2022,11,Anuradhapura,5495.133540154205,4574.749187551312,184.35538867261056,12.693758477756212,12.26032782263752,0.45351425613462193,25.407600556528358
2022,12,Anuradhapura,5354.23268015025,4457.447926332048,179.6283274245949,12.36827749114708,11.94596044256989,0.4418856854645034,24.756123619181476
2022,1,Polonnaruwa,33.03626646101963,56.742747642676576,2.399931979335198,0.07631377552495534,0.15207056368237323,0.005903832669164587,0.2342881718764932
2022,2,Polonnaruwa,29.79741680797848,51.179733167904345,2.164644530380766,0.06883203282643029,0.13716168488998365,0.005325025544736684,0.21131874326115063
2022,3,Polonnaruwa,121.78074695434684,209.16934425143518,8.84680808068661,0.2813135254645412,0.5605738425938463,0.02176314787848906,0.8636505159368767
2022,4,Polonnaruwa,1001.7761976856245,1720.6403770470454,72.77440796160555,2.314103016653793,4.611316210486082,0.17902504358554966,7.104444270725425
2022,5,Polonnaruwa,1459.4256536603375,2506.694322332359,106.02052449886666,3.37127325995538,6.717940783850723,0.260810490267212,10.350024534073315
2022,6,Polonnaruwa,1740.557803544308,2989.563978742586,126.44347506811125,4.020688526187351,8.012031463030132,0.3110509486675537,12.343770937885038
2022,7,Polonnaruwa,1555.9433733209635,2672.472153680571,113.0320904777087,3.5942291923714254,7.16222537186393,0.2780589425751634,11.03451350681052
2022,8,Polonnaruwa,1360.3168542772785,2336.4660794043293,98.82072856086106,3.1423319333805133,6.261729092803602,0.2430989922597182,9.647160018443834
2022,9,Polonnaruwa,1327.928357746867,2280.8359346566067,96.46785407131675,3.067514506395263,6.112640304879707,0.23731092101543919,9.41746573229041
2022,10,Polonnaruwa,1311.7341094816613,2253.020862282746,95.29141682654459,3.0301057929026376,6.038095910917759,0.2344168853932997,9.302618589213697
2022,11,Polonnaruwa,1263.1513646860444,2169.5756451611633,91.76210509222814,2.9178796524247628,5.814462729031917,0.22573477852688123,8.958077159983562
2022,12,Polonnaruwa,1230.762868155633,2113.945500413441,89.40923060268383,2.8430622254395126,5.6653739411080215,0.2199467072826022,8.728382873830137
2022,1,Jaffna,41.81070278198941,57.43925445130436,14.45176431034456,0.09658272342639554,0.1539372019294957,0.03555134020344762,0.2860712655593388
2022,2,Jaffna,37.71161427395122,51.807954995294104,13.03492467207548,0.08711382897282732,0.1388453193873882,0.032065914693305685,0.2580250630535212
2022,3,Jaffna,154.12572790223547,211.73685954598466,53.273170398917195,0.3560304314541639,0.5674547835832389,0.13105199918133628,1.054537214218739
2022,4,Jaffna,1267.8480755362082,1741.7609217439642,438.2285001166247,2.928729054488641,4.667919270273824,1.0780421102868967,8.674690435049362
2022,5,Jaffna,1847.0492817220027,2537.46353487821,638.4279410040449,4.2666838407778265,6.800402273473603,1.5705327348699505,12.63761884912138
2022,6,Jaffna,2202.8501642197157,3026.260327659897,761.4096216058003,5.088583879347543,8.110377678128524,1.8730676691502688,15.072029226626336
2022,7,Jaffna,1969.2021192615402,2705.2762586673143,680.6497622244633,4.548856895494158,7.250140373228403,1.6743984150721796,13.47339568379474
2022,8,Jaffna,1721.6171733760343,2365.1457715242964,595.0726480730111,3.976935670498639,6.338590667685114,1.4638787142596075,11.77940505244336
2022,9,Jaffna,1680.6262882956523,2308.832776964194,580.9042516903204,3.8822467259629567,6.187671842264041,1.4290244591581882,11.498943027385184
2022,10,Jaffna,1660.1308457554615,2280.676279684143,573.820053498975,3.834902253695116,6.112212429553503,1.4115973316074786,11.358712014856097
2022,11,Jaffna,1598.6445181348893,2196.20678784399,552.567458924939,3.692868836891594,5.8858341914218935,1.35931594895535,10.938018977268836
2022,12,Jaffna,1557.6536330545075,2139.8937932838876,538.3990625422482,3.598179892355912,5.734915366000819,1.3244616938539306,10.65755695221066
2022,1,Mannar,7.687001658340092,14.1325485282031,7.5041351382836075,0.017756973830765615,0.03787523005558432,0.018460172440177676,0.07409237632652761
2022,2,Mannar,6.933374044777335,12.747004554849852,6.768435614922467,0.01601609404343565,0.034161972206997605,0.01665035161270927,0.06682841786314253
2022,3,Mannar,28.33639826995955,52.09645339808201,27.662302078378783,0.06545708000360657,0.1396184951068598,0.06804926311281181,0.2731248382232782
2022,4,Mannar,233.09702087495984,428.5487509581587,227.55186257559996,0.5384541182211573,1.1485106525678654,0.5597775819359759,2.246742352724999
2022,5,Mannar,339.58460267137696,624.3261143929723,331.5062052265287,0.784440432170881,1.6731939865731658,0.8155052648572607,3.2731396836013076
2022,6,Mannar,404.9994795286239,744.5913312800337,395.3649238542754,0.9355487977111214,1.9955047678304905,0.9725977126815175,3.9036512782231294
2022,7,Mannar,362.042705555547,665.6153247988989,353.43005102269063,0.8363186498333137,1.7838490704610492,0.869437925515819,3.4896056458101823
2022,8,Mannar,316.52359769635666,581.9284688083628,308.9937998116779,0.731169510678584,1.5595682964064126,0.7601247475367277,3.0508625546217245
