"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"LKA",25,2004,167.39034043704686975,37833.889782238758471
"LKA",1,2005,290.39388800115426604,101259.332107324305889
"LKA",2,2005,233.32486841916118349,58144.038992580053922
"LKA",3,2005,235.00445433895183499,139447.132578150093678
"LKA",4,2005,36.41974275824436041,10292.241164103318962
"LKA",5,2005,100.15187750622695975,54146.490219325926510
"LKA",6,2005,309.27838320198448308,196017.809413821217481
"LKA",7,2005,104.75319481359482861,51723.821961438642326
"LKA",8,2005,322.44034618529483192,137603.825489383788395
"LKA",9,2005,0.37929715906955297,109.93195924050858
"LKA",10,2005,238.62901313729248760,130556.900475854706787
"LKA",11,2005,135.87931742729414508,85997.065370263281656
"LKA",12,2005,172.82037092855833949,100950.816525559759325
"LKA",13,2005,122.02613480377555576,32938.922192755189611
"LKA",14,2005,171.81480787335588125,65975.788501396970414
"LKA",15,2005,59.29305619648167228,14711.693033432646964
"LKA",16,2005,47.05216568439643324,24881.440142521468922
"LKA",17,2005,170.22841477611301036,99960.863189611102501
"LKA",18,2005,570.77470264912709595,230577.068248783895799
"LKA",19,2005,202.13278781666117621,53744.210653677564878
"LKA",20,2005,323.80071691636923614,183215.84384577860596
"LKA",21,2005,45.32691136985948224,14864.157266610615199
"LKA",22,2005,245.90015806982334001,75887.230087148655135
"LKA",23,2005,269.86048082579193161,153792.698838021592299
"LKA",24,2005,144.89336155527939189,38874.877329072381449
"LKA",25,2005,129.88052250443306511,31218.183394592292690
"LKA",1,2006,246.81818050788837492,93301.656939164488524
"LKA",2,2006,1162.17906459773319048,296620.983201636063392
"LKA",3,2006,457.69848362755464045,230210.563369815876606
"LKA",4,2006,42.13581783406711089,12683.433314824673141
"LKA",5,2006,278.06568250663513237,154974.678804153741046
"LKA",6,2006,309.28545949114348806,190164.151693837120291
"LKA",7,2006,218.44408982099696477,114156.197996843492774
"LKA",8,2006,206.91803412480136876,81992.495415107479560
"LKA",9,2006,1.51698745802680147,466.8690348596839
"LKA",10,2006,421.61520294531329246,231758.965054810814151
"LKA",11,2006,278.14429871504049734,158770.842149386982768
"LKA",12,2006,362.44728350556436390,213386.276959719180450
"LKA",13,2006,142.60648702673229417,38061.524299638649334
"LKA",14,2006,307.05796642005594224,116095.132260439407108
"LKA",15,2006,38.77390848925237859,9320.906265435452790
"LKA",16,2006,225.43435203357504912,103409.957542421481292
"LKA",17,2006,175.66935451799207196,104449.432641835049716
"LKA",18,2006,524.37247473920895336,200532.925275198168705
